timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706187117485,334,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-25,text,true,,2657,689,100,100,https://blazedemo.com/purchase.php,334,0,0
1706187117478,429,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-13,text,true,,2247,632,100,100,https://blazedemo.com/reserve.php,429,0,129
1706187113855,4053,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-93,text,true,,2666,689,100,100,https://blazedemo.com/purchase.php,4053,0,0
1706187117669,298,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-34,text,true,,2280,805,100,100,https://blazedemo.com/confirmation.php,283,0,0
1706187117579,391,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-71,text,true,,2298,635,100,100,https://blazedemo.com/reserve.php,389,0,115
1706187117462,508,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-88,text,true,,2313,640,100,100,https://blazedemo.com/reserve.php,508,0,124
1706187117642,334,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-6,text,true,,2606,689,100,100,https://blazedemo.com/purchase.php,334,0,0
1706187117461,523,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-75,text,true,,2272,637,100,100,https://blazedemo.com/reserve.php,523,0,125
1706187109345,8649,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-23,text,true,,2373,632,100,100,https://blazedemo.com/reserve.php,8649,0,125
1706187117522,475,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-78,text,true,,2404,640,100,100,https://blazedemo.com/reserve.php,475,0,133
1706187117700,298,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-99,text,true,,2274,805,100,100,https://blazedemo.com/confirmation.php,297,0,0
1706187117719,299,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-79,text,true,,2504,805,100,100,https://blazedemo.com/confirmation.php,299,0,0
1706187117578,441,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-91,text,true,,2236,632,100,100,https://blazedemo.com/reserve.php,440,0,158
1706187117593,426,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-7,text,true,,2294,637,100,100,https://blazedemo.com/reserve.php,426,0,139
1706187117596,458,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-17,text,true,,2352,640,100,100,https://blazedemo.com/reserve.php,458,0,140
1706187117641,414,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-35,text,true,,2626,689,100,100,https://blazedemo.com/purchase.php,413,0,0
1706187117539,516,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-27,text,true,,2279,635,100,100,https://blazedemo.com/reserve.php,516,0,116
1706187117746,309,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-72,text,true,,2282,805,100,100,https://blazedemo.com/confirmation.php,309,0,0
1706187117763,295,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-48,text,true,,2458,805,100,100,https://blazedemo.com/confirmation.php,295,0,0
1706187117210,849,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-56,text,true,,2280,805,100,100,https://blazedemo.com/confirmation.php,849,0,0
1706187117771,296,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-18,text,true,,2400,805,100,100,https://blazedemo.com/confirmation.php,292,0,0
1706187117733,379,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-39,text,true,,2555,689,100,100,https://blazedemo.com/purchase.php,379,0,0
1706187117522,591,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-16,text,true,,2463,637,100,100,https://blazedemo.com/reserve.php,590,0,133
1706187117746,367,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-38,text,true,,2375,805,100,100,https://blazedemo.com/confirmation.php,366,0,0
1706187117654,459,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-4,text,true,,2441,635,100,100,https://blazedemo.com/reserve.php,458,0,129
1706187113899,4224,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-58,text,true,,2563,689,100,100,https://blazedemo.com/purchase.php,4221,0,0
1706187117670,452,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-65,text,true,,2354,632,100,100,https://blazedemo.com/reserve.php,452,0,149
1706187117693,435,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-40,text,true,,2692,689,100,100,https://blazedemo.com/purchase.php,432,0,0
1706187117676,496,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-63,text,true,,2416,635,100,100,https://blazedemo.com/reserve.php,496,0,145
1706187117735,447,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-46,text,true,,2258,637,100,100,https://blazedemo.com/reserve.php,447,0,132
1706187117771,416,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-20,text,true,,2258,805,100,100,https://blazedemo.com/confirmation.php,411,0,0
1706187117901,302,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-31,text,true,,2644,689,100,100,https://blazedemo.com/purchase.php,302,0,0
1706187117901,308,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-77,text,true,,2354,805,100,100,https://blazedemo.com/confirmation.php,307,0,0
1706187117901,308,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-84,text,true,,2640,689,100,100,https://blazedemo.com/purchase.php,307,0,0
1706187117907,308,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-13,text,true,,2631,689,100,100,https://blazedemo.com/purchase.php,308,0,0
